#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A364CE
#Date Time: 2026-05-11 13:50:31.045
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1.75 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -4.525 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 350 mV Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 16 MHz
#Period: 62.5 ns
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-2.39561563584405e-05,4.556819338313729,0.09995049236323239
-2.39461563584405e-05,4.499014174111758,0.08530304122335136
-2.39361563584405e-05,4.470937380070803,0.1392322931474569
-2.39261563584405e-05,4.476883054103001,0.1352375337456748
-2.39161563584405e-05,4.525439392032659,0.1671956089599589
-2.39061563584405e-05,4.477873999775038,0.1432270525492444
-2.38961563584405e-05,4.513548043968254,0.1099373908676967
-2.38861563584405e-05,4.486792510823354,0.08929780062514647
-2.38761563584405e-05,4.482828728135206,0.1365691202129349
-2.38661563584405e-05,4.493398815303567,0.1329072574279647
-2.38561563584405e-05,4.532376011736896,0.1648653326422505
-2.38461563584405e-05,4.486462195599345,0.1405638796147055
-2.38361563584405e-05,4.519163402776445,0.1072742179331729
-2.38261563584405e-05,4.494059445751589,0.08963069724195255
-2.38161563584405e-05,4.478204314999049,0.1375678100633813
-2.38061563584405e-05,4.483819673807258,0.1345717405120588
-2.37961563584405e-05,4.524118131136595,0.1715232649785433
-2.37861563584405e-05,4.482168097687183,0.1385664999138277
-2.37761563584405e-05,4.524448446360625,0.1209229792226075
-2.37661563584405e-05,4.532045696512847,0.1232532555402987
-2.37561563584405e-05,4.449466890510106,0.08563593784018392
-2.37461563584405e-05,4.515529935312322,0.1232532555403158
-2.37361563584405e-05,4.537991370545087,0.1279138081757325
-2.37261563584405e-05,4.597448110867115,0.1475547085678456
-2.37161563584405e-05,4.520814978896536,0.13157567096071
-2.37061563584405e-05,4.559131544881808,0.09895180251278596
-2.36961563584405e-05,4.502317326351871,0.08829911077469066
-2.36861563584405e-05,4.496371652319668,0.1295782912598099
-2.36761563584405e-05,4.514208674416293,0.1289124980261939
-2.36661563584405e-05,4.551203979505538,0.1618692630909112
-2.36561563584405e-05,4.507932685160062,0.1342388438952266
-2.36461563584405e-05,4.542615783681245,0.104611044998649
-2.36361563584405e-05,4.50958426128012,0.08297276490566392
-2.36261563584405e-05,4.514208674416275,0.128912498026158
-2.36161563584405e-05,4.532706326960907,0.1212558758394229
-2.36061563584405e-05,4.563755958017966,0.1618692630909112
-2.35961563584405e-05,4.522466555016571,0.1315756709606894
-2.35861563584405e-05,4.551203979505525,0.102280768680954
-2.35761563584405e-05,4.522136239792546,0.08397145475608947
-2.35661563584405e-05,4.524448446360625,0.1259164284748396
-2.35561563584405e-05,4.539642946665143,0.120590082605792
-2.35461563584405e-05,4.566398479810044,0.1625350563245231
-2.35361563584405e-05,4.518833087552434,0.1265822217084706
-2.35261563584405e-05,4.559131544881808,0.1142650468862979
-2.35161563584405e-05,4.558801229657797,0.1155966333535598
-2.35061563584405e-05,4.44913657528609,0.08563593784018227
-2.34961563584405e-05,4.520814978896501,0.1195913927553455
-2.34861563584405e-05,4.535348848752997,0.1285796014093634
-2.34761563584405e-05,4.594144958627002,0.1488862950351076
-2.34661563584405e-05,4.52114529412053,0.1315756709606877
-2.34561563584405e-05,4.560452805777853,0.09861890589597044
-2.34461563584405e-05,4.505950793815995,0.08397145475608947
-2.34361563584405e-05,4.503968902471927,0.1289124980261789
-2.34261563584405e-05,4.512226783072225,0.131575670960716
-2.34161563584405e-05,4.547240196817387,0.1608705732404514
-2.34061563584405e-05,4.506281109040006,0.1355704303624884
-2.33961563584405e-05,4.541624838009211,0.1036123551482026
-2.33861563584405e-05,4.50991457650413,0.0833056615224585
-2.33761563584405e-05,4.533366957408919,0.1209229792225904
-2.33661563584405e-05,4.542285468457234,0.1219216690730539
-2.33561563584405e-05,4.566728795034067,0.1595389867732029
-2.33461563584405e-05,4.537661055321076,0.1242519453907622
-2.33361563584405e-05,4.56639847981004,0.1006162855968545
-2.33261563584405e-05,4.531385066064862,0.08130828182156563
-2.33161563584405e-05,4.518833087552434,0.1259164284748396
-2.33061563584405e-05,4.499014174111758,0.1332401540447801
-2.32961563584405e-05,4.534357903080945,0.16819429881039
-2.32861563584405e-05,4.496041337095657,0.134571740512042
-2.32761563584405e-05,4.535679163977008,0.1189255995217146
-2.32661563584405e-05,4.541624838009211,0.1209229792226075
-2.32561563584405e-05,4.445503107821951,0.08696752430744981
-2.32461563584405e-05,4.485140934703267,0.1332401540447591
-2.32361563584405e-05,4.502317326351871,0.135237533745673
-2.32261563584405e-05,4.567719740706101,0.1552113307546016
-2.32161563584405e-05,4.497362597991702,0.1375678100633813
-2.32061563584405e-05,4.537330740097047,0.1049439416154794
-2.31961563584405e-05,4.488113771719386,0.08863200739150612
-2.31861563584405e-05,4.515529935312322,0.1259164284748396
-2.31761563584405e-05,4.537330740097064,0.1252506352412087
-2.31661563584405e-05,4.570692577722187,0.1558771239882187
-2.31561563584405e-05,4.52312718546458,0.1335730506615956
-2.31461563584405e-05,4.54922208816147,0.1022807686809407
-2.31361563584405e-05,4.515529935312322,0.08297276490564304
-2.31261563584405e-05,4.496041337095656,0.1332401540447795
-2.31161563584405e-05,4.494059445751589,0.1319085675775182
-2.31061563584405e-05,4.536009479201019,0.1658640224926969
-2.30961563584405e-05,4.493398815303567,0.1382336032970123
-2.30861563584405e-05,4.525109076808637,0.1046110449986418
-2.30761563584405e-05,4.501326380679847,0.08863200739151339
-2.30661563584405e-05,4.503638587247916,0.1289124980261789
-2.30561563584405e-05,4.523457500688592,0.1235861521571313
-2.30461563584405e-05,4.562434697121897,0.1651982292590516
-2.30361563584405e-05,4.509584261280143,0.13357305066161
-2.30261563584405e-05,4.545588620697346,0.1165953232040062
-2.30161563584405e-05,4.547570512041414,0.1175940130544527
-2.30061563584405e-05,4.432290498861483,0.09062938709239898
-2.29961563584405e-05,4.490095663063427,0.1292453946429768
-2.29861563584405e-05,4.508593315608085,0.1362362235961194
-2.29761563584405e-05,4.570692577722202,0.1525481578200778
-2.29661563584405e-05,4.499014174111758,0.1375678100633813
-2.29561563584405e-05,4.541294522785176,0.1049439416154568
-2.29461563584405e-05,4.48910471739142,0.0879662141578752
-2.29361563584405e-05,4.511235837400175,0.1279138081757325
-2.29261563584405e-05,4.532045696512885,0.1269151183252861
-2.29161563584405e-05,4.566728795034044,0.1572087104554828
-2.29061563584405e-05,4.516851196208389,0.1315756709607144
-2.28961563584405e-05,4.546909881593391,0.1039452517650181
-2.28861563584405e-05,4.512887413520231,0.08397145475608947
-2.28761563584405e-05,4.488113771719389,0.1369020168297483
-2.28661563584405e-05,4.494059445751587,0.1322414641943358
-2.28561563584405e-05,4.532706326960907,0.1661969191095124
-2.28461563584405e-05,4.49174723918351,0.1392322931474587
-2.28361563584405e-05,4.526100022480682,0.1062755280827264
-2.28261563584405e-05,4.502647641575892,0.08829911077469883
-2.28161563584405e-05,4.499344489335769,0.1325743608111492
-2.28061563584405e-05,4.52048466367249,0.1259164284748396
-2.27961563584405e-05,4.55714965353774,0.1655311258758815
-2.27861563584405e-05,4.509584261280135,0.1329072574279574
-2.27761563584405e-05,4.54393704457729,0.1169282198208217
